"p1","p5","p10","p30","p60","p120","p180","p1440"
22080.31941,22345.92666,23726.19396,28360.85881,32254.26015,48659.38599,48077.1742,14709.85337
36783.06294,36675.00859,36852.78219,42531.56702,47823.98168,33468.48439,41427.77974,21898.14472
32379.93935,31291.45559,30900.01578,33151.5751,37932.38296,42141.39224,34288.16695,45116.61139
27953.52887,28515.89287,28917.28076,32540.14146,37435.9684,22901.18193,8825.825976,27136.09555
23064.4295,22506.425,21736.86892,21566.47261,25213.48084,26200.81942,25981.46781,14265.65893
21948.66532,22329.5402,22687.33428,22206.07526,25584.75129,14069.3961,13725.44489,11024.90181
26237.25428,26645.98209,26298.71765,27000.71695,24171.44857,15310.05945,16201.33488,19531.91819
18410.27086,18867.03593,20088.68845,21442.74211,22923.13667,31784.00057,44427.7935,24157.47373
33013.0447,34209.81321,34519.98677,38356.63796,36857.14446,45000.7183,48552.68902,31640.60941
32516.93244,31884.13287,31110.17974,30944.40181,40313.68886,46546.80265,30492.31607,18121.67162
31237.53521,29678.93299,27585.49709,20083.78796,18482.76105,35005.20646,42251.4687,45788.28494
45739.04891,44852.06184,43470.10373,41984.9522,39885.97812,25910.14062,12413.72592,30617.44721
24436.88753,24319.0956,24562.85627,24578.53133,27266.00494,16194.7458,7760.382306,33234.40916
25958.00445,27172.46399,27862.39654,30374.4789,36208.00889,42957.04958,48684.53612,10991.29326
29486.74164,28540.81801,27603.40356,28132.51607,30309.08725,41960.95067,27795.23721,29030.41939
23295.64534,24104.30526,23895.86829,22154.20274,17749.60854,20222.72354,22645.99254,45932.00622
26364.77334,26810.11793,26444.83678,21951.55515,15742.26774,28393.65652,27913.40371,31779.35765
29417.8979,29475.73937,30126.97187,28824.04912,24749.09858,18069.42221,22825.87573,30181.58201
26448.04865,26412.014,27052.43581,33696.036,38063.95191,46063.49295,43292.2284,32420.09785
32358.21291,32360.75169,32362.96131,30708.87582,25324.56251,26936.31983,37155.75513,43948.88207
42545.38994,43715.00572,45156.35223,42988.58839,46651.19504,45361.92891,42018.13547,49471.28226
26072.33106,27027.4959,29638.36355,34760.28372,38086.56672,31171.73843,42131.75098,50940.11648
43704.85038,44234.56497,43451.35918,37623.81192,30347.81727,21115.93081,24756.22203,7988.026744
47583.78767,47613.56492,47719.41814,49763.16412,49796.36049,34611.85165,31724.05496,21841.85424
36077.433,36592.86702,37003.60085,29779.96364,19982.71824,9959.843291,12485.3145,26879.45543
37168.15669,36644.64815,36283.9345,38258.42631,40977.79557,27940.92774,22595.32831,44032.88845
26112.03854,26156.04747,26579.55084,28151.2174,24949.73245,36455.70772,41168.41438,7587.937286
26261.3129,27757.91089,29693.66408,36187.83928,36749.17047,23271.22464,25153.20439,50178.25177
16926.52915,16928.44907,16933.13216,16948.83763,16947.894,18943.76653,48168.59382,25148.90432
30693.91382,29692.31649,28377.26207,26689.54604,26427.28753,36160.05211,33496.51668,36123.72998
