,time,lasso,forward,tree,Random_Forest,SVR_L,SVR_P,SVR_R,true_value,
228,2013/12/22 16:27,12873.81079,12638.00911,24017.71165,17385.15614,11855.97819,NA,NA,12312.6693,
229,2013/12/21 18:33,30725.32007,30812.33239,20689.44499,30847.53902,30550.35937,NA,NA,30803.2918,
230,2013/11/27 0:04,45663.50854,46431.51179,40993.64844,43337.7952,44226.4439,NA,NA,46293.3944,
231,2013/12/28 10:06,21731.14009,21490.83802,25232.94142,21566.47269,20905.47379,NA,NA,21546.2838,
232,2013/12/26 6:13,46227.50013,46628.17731,46880.65338,47295.75888,43184.55691,NA,NA,46728.1513,
233,2013/12/8 13:51,24265.6717,23884.46057,30129.59961,26748.07282,24331.82933,NA,NA,23956.2444,
234,2013/11/26 2:37,47656.30109,48082.80462,37724.60621,43312.78504,46138.11908,NA,NA,48095.7986,
235,2013/12/19 22:13,15838.4792,15824.45857,15197.14489,14944.65872,16065.06627,NA,NA,15638.5021,
236,2013/12/22 20:02,17272.51185,16525.15197,17931.6895,17682.11248,15903.34716,NA,NA,16610.6114,
237,2013/12/27 11:13,37832.42865,38378.97659,43096.89186,36291.22143,37187.60269,NA,NA,38502.176,
238,2013/12/3 15:28,23444.89155,22983.62233,18582.73704,30391.46231,27502.3005,NA,NA,23135.253,
239,2013/12/15 22:40,29201.32323,29144.39735,24917.33321,26393.74036,28011.9933,NA,NA,29245.3192,
240,2013/12/9 22:57,15439.96931,14730.24513,23655.06433,18908.76694,18521.31161,NA,NA,14557.446,
241,2013/12/23 19:32,51678.05328,52148.95241,41589.32135,43678.13613,49760.99645,NA,NA,52035.8641,
242,2013/11/24 20:50,33044.09673,32927.17931,36589.98199,33672.45266,31984.22779,NA,NA,33080.1259,
243,2013/12/3 14:13,31200.31563,31689.97445,29522.63031,30264.05232,30224.53472,NA,NA,31637.9595,
244,2013/12/28 1:46,12712.02318,12295.36593,13083.70054,13628.91725,11107.07224,NA,NA,12341.199,
245,2013/12/24 9:24,36651.27382,36840.64528,37578.21104,38754.83128,37377.01389,NA,NA,36843.9067,
246,2013/11/28 12:49,31916.95133,32005.25624,40253.85286,36315.43364,33171.2417,NA,NA,31917.2739,
247,2013/12/12 9:14,31733.34802,31579.54382,28848.46333,30730.47732,34276.63972,NA,NA,31814.0338,
